,Unnamed: 0,Unnamed: 0.1,Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
127,127,127,group_333,,hypothetical protein,297,103,1,18,99.66442953020132,14.87603305785124,51.90291262135922,1.0741359587675172e-09,3.782032710820428e-06,2.95471305532846e-08,6,6,1,0.03125,0.21875
128,128,128,pilE_1,,Fimbrial protein,181,34,117,87,60.738255033557046,71.900826446281,3.958521870286576,1.116352252621463e-09,3.930676281480172e-06,3.047035877116412e-08,12,7,7,0.7744140625000003,0.7744140625000003
129,129,129,group_2402,,hypothetical protein,75,3,223,118,25.16778523489933,97.5206611570248,13.228699551569507,1.715823838973715e-09,6.04141573702645e-06,4.647242874635732e-08,8,6,2,0.2890624999999999,0.2890624999999999
130,130,130,group_18,,hypothetical protein,288,93,10,28,96.64429530201345,23.1404958677686,8.670967741935485,2.253607443817003e-09,7.934951809679669e-06,6.057215121892878e-08,9,5,5,1.0,1.0
131,131,131,group_388,,Neisseria toxin MafB,2,19,296,102,0.6711409395973155,84.29752066115702,0.0362731152204836,2.312883286489026e-09,8.143662051727862e-06,6.169440948278683e-08,7,2,5,0.4531249999999996,0.4531249999999996
132,132,132,group_8,pilE1_1,Fimbrial protein,124,15,174,106,41.61073825503356,87.60330578512396,5.0360153256704985,2.7881313599599713e-09,9.817010518419058e-06,7.381210916104555e-08,16,11,9,0.2101135253906249,0.8036193847656252
133,133,133,group_2383,,Immunity protein 8,138,94,160,27,46.30872483221477,22.31404958677686,0.2477393617021276,3.083085623345285e-09,1.0855544479798752e-05,8.10115259686474e-08,16,9,11,0.2101135253906249,0.8036193847656252
134,134,134,group_1560,,hypothetical protein,0,15,298,106,0.0,87.60330578512396,0.0,4.2246260956649355e-09,1.4874908482836238e-05,1.0857597432727184e-07,4,0,4,0.125,0.125
135,135,135,group_2515,rsmJ,Ribosomal RNA small subunit methyltransferase J,0,15,298,106,0.0,87.60330578512396,0.0,4.2246260956649355e-09,1.4874908482836238e-05,1.0857597432727184e-07,1,0,1,1.0,1.0
136,136,136,group_2579,,hypothetical protein,0,15,298,106,0.0,87.60330578512396,0.0,4.2246260956649355e-09,1.4874908482836238e-05,1.0857597432727184e-07,2,0,2,0.5,0.5
137,137,137,group_2523,,hypothetical protein,7,24,291,97,2.348993288590604,80.16528925619835,0.0972222222222222,7.597491169628798e-09,2.6750766408263e-05,1.931392662275099e-07,8,4,6,0.2890624999999999,1.0
138,138,138,group_2593,,hypothetical protein,59,1,239,120,19.798657718120804,99.17355371900828,29.623430962343097,7.624640160642963e-09,2.6846358005623875e-05,1.931392662275099e-07,9,8,1,0.0390625,0.0390625
139,139,139,group_909,,hypothetical protein,2,18,296,103,0.6711409395973155,85.12396694214877,0.0386636636636636,8.123805774683495e-09,2.8603920132660583e-05,2.043137152332899e-07,11,2,9,0.0654296874999999,0.0654296874999999
140,140,140,group_38,,Pretoxin HINT domain protein,163,101,135,20,54.69798657718121,16.528925619834713,0.239090575724239,1.5305258639338225e-08,5.388981566910989e-05,3.8219727424900633e-07,13,6,10,0.09228515625,1.0
141,141,141,group_2580,,hypothetical protein,0,14,298,107,0.0,88.42975206611571,0.0,1.5990407184532348e-08,5.63022236967384e-05,3.964945330756225e-07,2,0,2,0.5,0.5
142,142,142,group_636,pilE_1,Fimbrial protein,41,48,257,73,13.758389261744966,60.33057851239669,0.2426232166018158,1.6352089170853366e-08,5.75757059705747e-05,4.026273144795434e-07,15,10,7,0.3017578125000001,0.9999999999999996
143,143,143,group_2831,penA,"putative peptidoglycan D,D-transpeptidase PenA",50,0,248,121,16.778523489932887,100.0,inf,1.6698598126044237e-08,5.879576400180176e-05,4.083039166791789e-07,2,2,0,0.5,0.5
144,144,144,group_1893,,hypothetical protein,188,108,110,13,63.08724832214765,10.743801652892564,0.2057239057239057,3.022713708281994e-08,0.0001064297496686,7.339982735766139e-07,15,3,12,0.03515625,0.03515625
145,145,145,rsmJ,,Ribosomal RNA small subunit methyltransferase J,297,106,1,15,99.66442953020132,12.396694214876034,42.028301886792455,5.096739502541487e-08,0.0001794561978844,1.2291520403046971e-06,2,1,1,1.0,1.0
146,146,146,group_545,,Phage tail protein (Tail_P2_I),223,116,75,5,74.83221476510067,4.132231404958678,0.1281609195402298,8.406927379390019e-08,0.0002960079130283,2.0136592723015136e-06,9,3,6,0.5078125,0.5078125
147,147,147,malP_3,,Maltose phosphorylase,69,61,229,60,23.154362416107386,49.58677685950413,0.2963705347555301,1.0759250197385169e-07,0.0003788331994499,2.5596837800671065e-06,16,8,13,0.021270751953125,1.0
148,148,148,group_241,,Type II transport protein GspH,64,3,234,118,21.47651006711409,97.5206611570248,10.757834757834758,1.0932820139171348e-07,0.0003849445971002,2.5835207859075376e-06,12,10,2,0.03857421875,0.03857421875
149,149,149,group_940,,hypothetical protein,3,17,295,104,1.006711409395973,85.9504132231405,0.0622133599202392,1.4188677151258132e-07,0.0004995833224957,3.330555483305325e-06,4,3,2,0.625,1.0
151,150,151,group_490,pilE_2,Fimbrial protein,0,12,298,109,0.0,90.08264462809916,0.0,2.2445522120168523e-07,0.0007903068338511,5.199387064810087e-06,4,0,4,0.125,0.125
150,151,150,group_2510,tbpB_2,Transferrin-binding protein 2,0,12,298,109,0.0,90.08264462809916,0.0,2.2445522120168523e-07,0.0007903068338511,5.199387064810087e-06,1,0,1,1.0,1.0
152,152,152,group_81,,Pretoxin HINT domain protein,119,82,179,39,39.93288590604027,32.231404958677686,0.3161874914838534,3.081328004931749e-07,0.0010849355905364,7.0910822910880304e-06,15,9,10,0.3017578125000001,0.6072387695312501
153,153,153,group_924,tbpB_2,Transferrin-binding protein 2,43,0,255,121,14.429530201342285,100.0,inf,3.554921307172344e-07,0.0012516877922553,8.127842806853132e-06,2,2,0,0.5,0.5
154,154,154,group_625,,hypothetical protein,79,7,219,114,26.51006711409396,94.21487603305783,5.874755381604697,4.458210902505454e-07,0.0015697360587721,1.0127329411433355e-05,11,9,2,0.0654296874999999,0.0654296874999999
155,155,155,group_1259,,hypothetical protein,192,45,106,76,64.42953020134227,62.8099173553719,3.059119496855346,4.611265294762303e-07,0.0016236265102858,1.040786224542184e-05,16,13,6,0.021270751953125,0.454498291015625
156,156,156,lpxD_1,,hypothetical protein,250,120,48,1,83.89261744966443,0.8264462809917356,0.0434027777777777,4.871035292275541e-07,0.0017150915264102,1.092414984974661e-05,9,1,8,0.0390625,0.0390625
157,157,157,group_1310,,S-adenosylmethionine/S-adenosylhomocysteine transporter,257,121,41,0,86.24161073825503,0.0,0.0,5.94218422128012e-07,0.0020922430643127,1.3242044710840065e-05,2,0,2,0.5,0.5
158,158,158,group_225,pilE_4,Fimbrial protein,14,26,284,95,4.697986577181208,78.51239669421489,0.1801191765980498,6.179930975380445e-07,0.0021759536964314,1.3685243373782736e-05,10,5,5,1.0,1.0
160,159,160,group_2431,,hypothetical protein,157,95,141,26,52.68456375838926,21.487603305785125,0.3047405748413587,6.346658593075117e-07,0.0022346584906217,1.387986640137732e-05,15,8,9,0.6072387695312501,0.9999999999999996
159,160,159,group_2516,pilE_4,Fimbrial protein,1,13,297,108,0.3355704697986577,89.25619834710744,0.0279720279720279,6.336939143499271e-07,0.002231236272426,1.387986640137732e-05,3,1,2,1.0,1.0
161,161,161,group_1440,,hypothetical protein,77,7,221,114,25.838926174496645,94.21487603305783,5.67420814479638,7.653025806281337e-07,0.0026946303863916,1.6633520903652218e-05,11,9,2,0.0654296874999999,0.0654296874999999
162,162,162,group_2555,,hypothetical protein,0,11,298,110,0.0,90.9090909090909,0.0,8.325248204573542e-07,0.0029313198928303,1.7983557624726037e-05,2,0,2,0.5,0.5
163,163,163,group_2082,,hypothetical protein,158,95,140,26,53.02013422818792,21.487603305785125,0.3088721804511278,1.011668272004502e-06,0.0035620839857278,2.172002430321861e-05,15,10,12,0.03515625,0.3017578125000001
164,164,164,group_2449,,DNase/tRNase domain of colicin-like bacteriocin,39,0,259,121,13.087248322147651,100.0,inf,1.0624141764758334e-06,0.0037407603153714,2.2584166402808795e-05,1,1,0,1.0,1.0
165,165,165,group_1923,,Inovirus Coat protein B,177,40,121,81,59.395973154362416,66.94214876033058,2.962190082644628,1.0647462717598012e-06,0.0037489716228662,2.2584166402808795e-05,14,10,9,0.1795654296875,0.4239501953124999
166,166,166,group_348,,hypothetical protein,102,14,196,107,34.22818791946309,88.42975206611571,3.977405247813411,1.0902521334790468e-06,0.0038387777619797,2.298669318550733e-05,15,12,4,0.03515625,0.1184692382812499
167,167,167,group_639,,Type II transport protein GspH,16,27,282,94,5.369127516778524,77.68595041322314,0.1975308641975308,1.1851984504545202e-06,0.0041730837440503,2.4839784190775982e-05,11,5,7,0.548828125,0.9999999999999996
168,168,168,group_2011,,Autotransporter beta-domain protein,198,49,100,72,66.44295302013423,59.50413223140496,2.9093877551020406,1.275956162415463e-06,0.0044926416478648,2.6583678389732813e-05,15,8,11,0.1184692382812499,0.9999999999999996
169,169,169,group_1485,,Phage tail fibre repeat protein,90,68,208,53,30.2013422818792,43.80165289256198,0.3372454751131222,1.3651648699368534e-06,0.0048067455070476,2.82749735708686e-05,14,7,10,0.1795654296875,1.0
170,170,170,ggt_2,,Glutathione hydrolase proenzyme,295,106,3,15,98.99328859060402,12.396694214876034,13.91509433962264,1.4764236307599551e-06,0.0051984876039058,3.04005123035427e-05,6,4,2,0.6875000000000002,0.6875000000000002
171,171,171,group_2214,,hypothetical protein,139,26,159,95,46.64429530201343,78.51239669421489,3.1942428640541847,1.6825685931278665e-06,0.0059243240164032,3.4443744281414056e-05,15,9,8,0.6072387695312501,0.9999999999999996
172,172,172,group_1876,,hypothetical protein,204,52,94,69,68.45637583892618,57.02479338842975,2.879705400981997,1.7474211891717631e-06,0.0061526700070737,3.556456651487733e-05,14,10,7,0.1795654296875,1.0
173,173,173,group_2177,,hypothetical protein,291,102,7,19,97.6510067114094,15.702479338842975,7.743697478991597,1.7926137869288674e-06,0.0063117931437765,3.627467324009507e-05,5,2,3,1.0,1.0
174,174,174,group_341,fimA,Fimbrial protein,56,3,242,118,18.79194630872483,97.5206611570248,9.101928374655648,1.8161589660627337e-06,0.0063946957195068,3.65411183971822e-05,12,11,2,0.00634765625,0.03857421875
175,175,175,group_1460,xanQ_2,Xanthine permease XanQ,110,17,188,104,36.91275167785235,85.9504132231405,3.579474342928661,2.1413836707757583e-06,0.0075398119048014,4.283984036819003e-05,12,10,3,0.03857421875,0.14599609375
177,176,177,prtR_1,,HTH-type transcriptional regulator PrtR,137,26,161,95,45.97315436241611,78.51239669421489,3.109173435260392,2.8137961571735736e-06,0.0099073762694081,5.565941724386603e-05,14,12,8,0.0129394531249999,0.7905273437500004
176,177,176,group_223,,hypothetical protein,16,26,282,95,5.369127516778524,78.51239669421489,0.2073104200763775,2.810479537708512e-06,0.0098956984522716,5.565941724386603e-05,11,6,6,0.9999999999999996,0.9999999999999996
178,178,178,group_1636,tbpB_2,Transferrin-binding protein 2,0,10,298,111,0.0,91.73553719008264,0.0,3.067591455557943e-06,0.0108009895150195,5.9346096236370975e-05,2,0,2,0.5,0.5
179,179,179,group_1676,,hypothetical protein,0,10,298,111,0.0,91.73553719008264,0.0,3.067591455557943e-06,0.0108009895150195,5.9346096236370975e-05,3,0,3,0.25,0.25
180,180,180,group_3059,,hypothetical protein,0,10,298,111,0.0,91.73553719008264,0.0,3.067591455557943e-06,0.0108009895150195,5.9346096236370975e-05,4,0,4,0.125,0.125
181,181,181,group_343,,hypothetical protein,0,10,298,111,0.0,91.73553719008264,0.0,3.067591455557943e-06,0.0108009895150195,5.9346096236370975e-05,4,0,4,0.125,0.125
182,182,182,group_1526,,Type II transport protein GspH,19,28,279,93,6.375838926174497,76.85950413223141,0.2261904761904762,3.761326019302689e-06,0.0132436289139647,7.236955690691129e-05,11,7,6,0.548828125,0.9999999999999996
183,183,183,group_2401,,DNase/tRNase domain of colicin-like bacteriocin,49,2,249,119,16.44295302013423,98.34710743801654,11.708835341365464,4.050819284152566e-06,0.0142629346995011,7.75159494538108e-05,8,7,2,0.0703125,0.2890624999999999
184,184,184,group_2461,,hypothetical protein,8,19,290,102,2.684563758389262,84.29752066115702,0.1480943738656987,4.569412272974527e-06,0.0160889006131433,8.696703034131519e-05,6,3,4,0.6875000000000002,1.0
186,185,186,group_1502,piiC_2,Outer membrane protein P.IIC,35,0,263,121,11.74496644295302,100.0,inf,5.985426340896561e-06,0.0210746861462967,0.0001126988563973,1,1,0,1.0,1.0
185,186,185,group_1119,,hypothetical protein,35,0,263,121,11.74496644295302,100.0,inf,5.985426340896561e-06,0.0210746861462967,0.0001126988563973,6,6,0,0.03125,0.03125
187,187,187,group_1529,pilE1_3,Fimbrial protein,1,11,297,110,0.3355704697986577,90.9090909090909,0.0336700336700336,7.521290412266698e-06,0.026482463541591,0.0001401188547174,2,1,1,1.0,1.0
188,188,188,group_1545,,hypothetical protein,1,11,297,110,0.3355704697986577,90.9090909090909,0.0336700336700336,7.521290412266698e-06,0.026482463541591,0.0001401188547174,4,1,3,0.625,0.625
189,189,189,group_116,,hypothetical protein,94,67,204,54,31.543624161073826,44.62809917355372,0.3713784021071115,8.183780288636383e-06,0.0288150903962887,0.0001516583705067,16,12,10,0.076812744140625,0.454498291015625
190,190,190,group_1496,,hypothetical protein,33,36,265,85,11.073825503355703,70.24793388429752,0.2940251572327044,8.64834285069978e-06,0.0304508151773139,0.0001594283517136,15,7,11,0.1184692382812499,0.9999999999999996
191,191,191,penA,,"putative peptidoglycan D,D-transpeptidase PenA",246,118,52,3,82.5503355704698,2.479338842975207,0.1202737940026075,9.083493643811572e-06,0.0319829811198605,0.0001665780266659,4,2,2,1.0,1.0
192,192,192,pilE_5,,Fimbrial protein,115,20,183,101,38.59060402684564,83.47107438016529,3.1734972677595628,9.63865977884705e-06,0.0339377210813204,0.0001758431144109,14,11,6,0.057373046875,0.7905273437500004
196,195,193,group_2535,,hypothetical protein,0,9,298,112,0.0,92.56198347107438,0.0,1.1229575864090492e-05,0.0395393366174626,0.0002014165276549,1,0,1,1.0,1.0
194,194,194,group_3064,,hypothetical protein,0,9,298,112,0.0,92.56198347107438,0.0,1.1229575864090492e-05,0.0395393366174626,0.0002014165276549,1,0,1,1.0,1.0
193,196,195,group_943,pilE_5,Fimbrial protein,0,9,298,112,0.0,92.56198347107438,0.0,1.1229575864090492e-05,0.0395393366174626,0.0002014165276549,1,0,1,1.0,1.0
195,193,196,group_1466,,hypothetical protein,235,69,63,52,78.85906040268456,42.97520661157025,2.8111341154819414,1.126925758251137e-05,0.0396790559480225,0.0002014165276549,15,11,9,0.1184692382812499,0.6072387695312501
197,197,197,group_2544,,hypothetical protein,2,12,296,109,0.6711409395973155,90.08264462809916,0.0613738738738738,1.1573846396761642e-05,0.0407515131629977,0.0002047814731808,3,1,2,1.0,1.0
198,198,198,group_966,tbpB_2,Transferrin-binding protein 2,2,12,296,109,0.6711409395973155,90.08264462809916,0.0613738738738738,1.1573846396761642e-05,0.0407515131629977,0.0002047814731808,4,1,4,0.125,0.625
199,199,199,group_1125,,hypothetical protein,220,62,78,59,73.8255033557047,48.7603305785124,2.684036393713813,1.1798525268824782e-05,0.041542607471532,0.0002077130373576,16,12,10,0.076812744140625,0.454498291015625
200,200,200,group_455,,hypothetical protein,121,78,177,43,40.604026845637584,35.53719008264463,0.3768651311024192,1.3809787473086228e-05,0.0486242616927366,0.0002419117497151,14,11,10,0.057373046875,0.1795654296875
201,201,201,group_829,,hypothetical protein,238,71,60,50,79.86577181208054,41.32231404958678,2.7934272300469485,1.519034550575092e-05,0.0534852065257489,0.0002647779069634,16,14,7,0.0041809082031249,0.8036193847656252
202,202,202,group_243,,hypothetical protein,248,118,50,3,83.22147651006712,2.479338842975207,0.1261016949152542,1.52655254511751e-05,0.0537499151135875,0.0002647779069634,11,3,9,0.0654296874999999,0.2265625
203,203,203,group_1126,,hypothetical protein,293,106,5,15,98.3221476510067,12.396694214876034,8.29245283018868,1.5914926051839362e-05,0.0560364546285263,0.000274688503081,7,5,3,0.4531249999999996,0.9999999999999998
204,204,204,group_2447,,hypothetical protein,32,0,266,121,10.738255033557047,100.0,inf,1.8615035779244067e-05,0.0655435409787183,0.0003177771026894,1,1,0,1.0,1.0
205,205,205,repE_2,,Replication initiation protein,32,0,266,121,10.738255033557047,100.0,inf,1.8615035779244067e-05,0.0655435409787183,0.0003177771026894,8,8,0,0.0078125,0.0078125
206,206,206,group_1914,,hypothetical protein,79,10,219,111,26.51006711409396,91.73553719008264,4.004109589041096,1.877240481664298e-05,0.0660976373593999,0.0003177771026894,14,10,7,0.1795654296875,1.0
207,207,207,group_1915,,Peptidase S24-like protein,79,10,219,111,26.51006711409396,91.73553719008264,4.004109589041096,1.877240481664298e-05,0.0660976373593999,0.0003177771026894,14,10,7,0.1795654296875,1.0
208,208,208,group_715,,hypothetical protein,263,85,35,36,88.25503355704699,29.75206611570248,3.182521008403361,2.221407068222475e-05,0.0782157428721133,0.0003742380041727,13,7,8,0.5810546875,1.0
209,209,209,group_1186,,hypothetical protein,82,11,216,110,27.516778523489933,90.9090909090909,3.796296296296296,2.564697642041696e-05,0.0903030039762881,0.0004300143046489,11,7,5,0.548828125,0.9999999999999996
210,210,210,group_546,,hypothetical protein,196,52,102,69,65.77181208053692,57.02479338842975,2.5497737556561084,2.7236470742288986e-05,0.0958996134835995,0.0004545005378369,14,10,7,0.1795654296875,1.0
211,211,211,group_912,,Type II transport protein GspH,9,18,289,103,3.02013422818792,85.12396694214877,0.1782006920415225,2.8023923757037e-05,0.0986722355485272,0.0004654350733421,14,6,8,0.7905273437500004,0.7905273437500004
212,212,212,group_1771,,NAD-specific glutamate dehydrogenase,173,96,125,25,58.053691275167786,20.66115702479339,0.3604166666666666,2.9636049964963392e-05,0.1043485319266361,0.0004898992109231,15,10,12,0.03515625,0.3017578125000001
214,213,214,group_969,,hypothetical protein,30,0,268,121,10.06711409395973,100.0,inf,3.2335115638119626e-05,0.1138519421618192,0.0005295439170317,5,5,0,0.0625,0.0625
213,214,213,group_275,pilE1_1,Fimbrial protein,30,0,268,121,10.06711409395973,100.0,inf,3.2335115638119626e-05,0.1138519421618192,0.0005295439170317,6,6,0,0.03125,0.03125
215,215,215,tbpB_2,,Transferrin-binding protein 2,84,12,214,109,28.187919463087248,90.08264462809916,3.5654205607476634,3.2990015505074825e-05,0.1161578445933684,0.0005377677990433,13,9,5,0.2668457031249998,0.5810546875
216,216,216,mafA1_2,,Adhesin MafA,38,37,260,84,12.751677852348994,69.42148760330579,0.3318087318087318,3.58835062382985e-05,0.126345825465049,0.0005822388270278,15,9,9,0.6072387695312501,0.6072387695312501
217,217,217,group_938,,hypothetical protein,13,21,285,100,4.362416107382551,82.64462809917356,0.2172096908939014,3.643137999283372e-05,0.1282748889547675,0.0005884169218108,10,6,5,0.7539062500000002,1.0
218,218,218,group_291,,hypothetical protein,298,113,0,8,100.0,6.6115702479338845,inf,4.084385557649091e-05,0.1438112154848244,0.0006477982679496,2,2,0,0.5,0.5
219,219,219,group_1534,,hypothetical protein,0,8,298,113,0.0,93.38842975206612,0.0,4.084385557649091e-05,0.1438112154848244,0.0006477982679496,3,0,3,0.25,0.25
220,220,220,group_1587,,hypothetical protein,0,8,298,113,0.0,93.38842975206612,0.0,4.084385557649091e-05,0.1438112154848244,0.0006477982679496,3,0,3,0.25,0.25
221,221,221,group_3062,pilE_5,Fimbrial protein,0,8,298,113,0.0,93.38842975206612,0.0,4.084385557649091e-05,0.1438112154848244,0.0006477982679496,1,0,1,1.0,1.0
222,222,222,group_714,,hypothetical protein,292,106,6,15,97.98657718120806,12.396694214876034,6.886792452830188,4.193950507078074e-05,0.147668997354219,0.0006621928132476,9,5,4,1.0,1.0
223,223,223,group_1182,,hypothetical protein,95,16,203,105,31.879194630872483,86.77685950413223,3.0711206896551726,5.262611852211909e-05,0.1852965633163813,0.0008272168005195,10,5,8,0.109375,1.0
224,224,224,group_1541,,hypothetical protein,20,25,278,96,6.711409395973154,79.33884297520662,0.2762589928057554,8.291346455426844e-05,0.2919383086955792,0.0012975035942025,12,9,5,0.14599609375,0.7744140625000003
225,225,225,group_1644,pilE1_1,Fimbrial protein,1,9,297,112,0.3355704697986577,92.56198347107438,0.0419004863449307,8.468743554093079e-05,0.2981844605396173,0.0013073816209546,2,1,1,1.0,1.0
226,226,226,group_2534,fimA,Fimbrial protein,1,9,297,112,0.3355704697986577,92.56198347107438,0.0419004863449307,8.468743554093079e-05,0.2981844605396173,0.0013073816209546,2,1,1,1.0,1.0
227,227,227,group_3060,,hypothetical protein,1,9,297,112,0.3355704697986577,92.56198347107438,0.0419004863449307,8.468743554093079e-05,0.2981844605396173,0.0013073816209546,2,1,1,1.0,1.0
228,228,228,group_354,,hypothetical protein,8,16,290,105,2.684563758389262,86.77685950413223,0.1810344827586207,8.502993217796668e-05,0.2993903911986207,0.0013073816209546,9,3,6,0.5078125,0.5078125
229,229,229,group_161,,Branched-chain amino acid transport protein (AzlD),241,75,57,46,80.87248322147651,38.01652892561984,2.593216374269006,8.982295340785262e-05,0.316266618949049,0.0013750722563002,15,11,8,0.1184692382812499,0.9999999999999996
230,230,230,group_2513,,hypothetical protein,37,35,261,86,12.416107382550337,71.07438016528926,0.3483305966064586,9.702557675968656e-05,0.3416270557708563,0.001478905003337,16,12,10,0.076812744140625,0.454498291015625
231,231,231,group_1506,pilE_3,Fimbrial protein,27,0,271,121,9.060402684563758,100.0,inf,9.855570875246504e-05,0.3470146505174294,0.0014957528039544,7,7,0,0.015625,0.015625
232,232,232,group_955,,hypothetical protein,7,15,291,106,2.348993288590604,87.60330578512396,0.1699885452462772,9.921973426820852e-05,0.3493526843583622,0.0014993677440273,8,4,5,0.7265625000000002,1.0
233,233,233,group_45,porB,Major outer membrane protein P.IB,90,15,208,106,30.2013422818792,87.60330578512396,3.0576923076923075,0.0001011293277684,0.3560763630726017,0.0015216938592846,14,10,6,0.1795654296875,0.7905273437500004
234,234,234,group_1330,,hypothetical protein,215,108,83,13,72.14765100671141,10.743801652892564,0.3118027666220437,0.0001047111521325,0.368687966658749,0.0015688849645053,14,8,8,0.7905273437500004,0.7905273437500004
235,235,235,group_2621,,hypothetical protein,3,11,295,110,1.006711409395973,90.9090909090909,0.1016949152542373,0.0001293296694801,0.4553697662397126,0.0019295329077953,6,3,3,1.0,1.0
236,236,236,group_20,pilE_2,Fimbrial protein,68,9,230,112,22.818791946308725,92.56198347107438,3.679227053140097,0.0001425306396224,0.5018503821105706,0.002117512160804,14,11,6,0.057373046875,0.7905273437500004
243,237,243,group_998,pilE_6,Fimbrial protein,0,7,298,114,0.0,94.21487603305783,0.0,0.0001476111271711,0.5197387787696349,0.0021300769621706,3,0,3,0.25,0.25
242,238,242,group_659,pilE_6,Fimbrial protein,0,7,298,114,0.0,94.21487603305783,0.0,0.0001476111271711,0.5197387787696349,0.0021300769621706,1,0,1,1.0,1.0
241,239,241,group_3063,pilE_6,Fimbrial protein,0,7,298,114,0.0,94.21487603305783,0.0,0.0001476111271711,0.5197387787696349,0.0021300769621706,1,0,1,1.0,1.0
240,240,240,dam,,DNA adenine methylase,0,7,298,114,0.0,94.21487603305783,0.0,0.0001476111271711,0.5197387787696349,0.0021300769621706,2,0,2,0.5,0.5
239,241,239,group_2551,,hypothetical protein,0,7,298,114,0.0,94.21487603305783,0.0,0.0001476111271711,0.5197387787696349,0.0021300769621706,1,0,1,1.0,1.0
238,242,238,group_1623,,hypothetical protein,0,7,298,114,0.0,94.21487603305783,0.0,0.0001476111271711,0.5197387787696349,0.0021300769621706,1,0,1,1.0,1.0
237,243,237,group_1565,,Helix-turn-helix domain protein,0,7,298,114,0.0,94.21487603305783,0.0,0.0001476111271711,0.5197387787696349,0.0021300769621706,2,0,2,0.5,0.5
244,244,244,group_224,,hypothetical protein,63,8,235,113,21.14093959731544,93.38842975206612,3.786702127659576,0.0001688715749342,0.5945968153436653,0.0024269257769129,12,10,5,0.03857421875,0.7744140625000003
245,245,245,group_1954,,hypothetical protein,59,46,239,75,19.798657718120804,61.98347107438017,0.4024922685100964,0.0001695761940774,0.5970777793468307,0.0024271454444993,15,9,12,0.03515625,0.6072387695312501
246,246,246,group_623,,hypothetical protein,26,0,272,121,8.724832214765101,100.0,inf,0.0001733829667725,0.6104814260062342,0.002471584720673,8,8,0,0.0078125,0.0078125
247,247,247,group_1495,,hypothetical protein,54,43,244,78,18.12080536912752,64.46280991735537,0.4014487228364468,0.0001990666522142,0.7009136824464963,0.0028262648485745,12,7,6,0.7744140625000003,1.0
248,248,248,group_2439,,hypothetical protein,62,47,236,74,20.80536912751678,61.15702479338842,0.4136314460872701,0.0002123472447142,0.7476746486388454,0.0030027094322845,16,9,11,0.2101135253906249,0.8036193847656252
249,249,249,group_1877,,hypothetical protein,262,119,36,2,87.91946308724832,1.6528925619834711,0.1223155929038282,0.0002743836600741,0.966104867120926,0.0038644194684837,9,2,8,0.0390625,0.1796875
250,250,250,group_1538,tbpB_2,Transferrin-binding protein 2,1,8,297,113,0.3355704697986577,93.38842975206612,0.0475589225589225,0.0002777580932754,0.9779862464229964,0.0038963595475019,2,1,1,1.0,1.0
251,251,251,group_2744,,hypothetical protein,24,0,274,121,8.053691275167784,100.0,inf,0.000297055692324,1.0,0.004150528145527,4,4,0,0.125,0.125
252,252,252,bcr,,Bicyclomycin resistance protein,216,107,82,14,72.48322147651007,11.570247933884298,0.344654661499886,0.000308282805442,1.0,0.0042734793620525,12,6,8,0.3876953125000001,1.0
253,253,253,group_572,,hypothetical protein,216,107,82,14,72.48322147651007,11.570247933884298,0.344654661499886,0.000308282805442,1.0,0.0042734793620525,12,6,8,0.3876953125000001,1.0
254,254,254,yigL,,Pyridoxal phosphate phosphatase YigL,273,121,25,0,91.61073825503355,0.0,0.0,0.0003248865515919,1.0,0.0044859825417858,7,0,7,0.015625,0.015625
255,255,255,group_1763,,hypothetical protein,293,109,5,12,98.3221476510067,9.917355371900827,6.451376146788991,0.0003355829388917,1.0,0.0045976168398354,6,3,3,1.0,1.0
256,256,256,group_346,,hypothetical protein,5,12,293,109,1.6778523489932886,90.08264462809916,0.1550056882821388,0.0003355829388917,1.0,0.0045976168398354,6,2,4,0.6875000000000002,0.6875000000000002
257,257,257,group_1382,,hypothetical protein,296,112,2,9,99.32885906040268,7.43801652892562,11.892857142857142,0.0003513987353457,1.0,0.0047956393300477,2,1,1,1.0,1.0
258,258,258,group_606,,hypothetical protein,127,75,171,46,42.61744966442953,38.01652892561984,0.4555165692007797,0.000364394387962,1.0,0.0049537939768891,15,9,10,0.3017578125000001,0.6072387695312501
259,259,259,group_311,,hypothetical protein,10,16,288,105,3.355704697986577,86.77685950413223,0.2278645833333333,0.0004498553835248,1.0,0.0060920800207346,10,6,4,0.7539062500000002,0.7539062500000002
260,260,260,group_926,pilE_1,Fimbrial protein,68,10,230,111,22.818791946308725,91.73553719008264,3.2817391304347825,0.0004603133263597,1.0,0.0062098207743778,12,9,3,0.14599609375,0.14599609375
273,267,266,group_1530,,hypothetical protein,0,6,298,115,0.0,95.0413223140496,0.0,0.0005301164827973,1.0,0.0068360958060594,2,0,2,0.5,0.5
272,261,273,group_94,,hypothetical protein,249,82,49,39,83.55704697986577,32.231404958677686,2.4168740666998505,0.0005319767824084,1.0,0.0068360958060594,15,11,11,0.1184692382812499,0.1184692382812499
